model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x4-45,alert dialog,0.5081,-0.5289,1.0371,1
crfm-gpt2-sm-x4-45,alt text,0.7564,0.0519,0.7045,1
crfm-gpt2-sm-x4-45,aria attribute,0.6063,0.3279,0.2784,1
crfm-gpt2-sm-x4-45,audio description,0.608,-0.0435,0.6515,1
crfm-gpt2-sm-x4-45,braille display,0.5568,-0.0819,0.6387,1
crfm-gpt2-sm-x4-45,captions closed,0.5946,0.2625,0.3321,1
crfm-gpt2-sm-x4-45,cognitive load,0.4661,0.703,-0.2368,0
crfm-gpt2-sm-x4-45,color contrast,0.0572,0.1552,-0.098,0
crfm-gpt2-sm-x4-45,contrast ratio,0.48,0.0023,0.4777,1
crfm-gpt2-sm-x4-45,error identification,0.8211,-0.5943,1.4154,1
crfm-gpt2-sm-x4-45,eye tracking,0.3522,0.7395,-0.3872,0
crfm-gpt2-sm-x4-45,focus indicator,-0.1615,-0.167,0.0055,1
crfm-gpt2-sm-x4-45,focus management,0.6753,0.0986,0.5768,1
crfm-gpt2-sm-x4-45,focus trap,0.2661,-0.4569,0.723,1
crfm-gpt2-sm-x4-45,haptic feedback,0.5216,0.3926,0.1291,1
crfm-gpt2-sm-x4-45,heading structure,0.3476,-0.0208,0.3684,1
crfm-gpt2-sm-x4-45,high contrast,0.3225,0.1611,0.1614,1
crfm-gpt2-sm-x4-45,input purpose,0.1873,-0.3125,0.4998,1
crfm-gpt2-sm-x4-45,keyboard navigation,0.3094,-0.3886,0.698,1
crfm-gpt2-sm-x4-45,keyboard shortcut,0.6487,0.1109,0.5377,1
crfm-gpt2-sm-x4-45,landmark region,0.5401,0.1886,0.3515,1
crfm-gpt2-sm-x4-45,live region,0.8668,0.6639,0.2029,1
crfm-gpt2-sm-x4-45,motion sensitivity,0.5128,0.3276,0.1852,1
crfm-gpt2-sm-x4-45,non-text content,0.3624,0.3933,-0.0308,0
crfm-gpt2-sm-x4-45,orientation support,0.6336,-0.3535,0.9872,1
crfm-gpt2-sm-x4-45,plain language,0.6595,0.6368,0.0227,1
crfm-gpt2-sm-x4-45,reduced motion,0.6574,0.6559,0.0015,1
crfm-gpt2-sm-x4-45,reflow content,0.452,-0.0941,0.5461,1
crfm-gpt2-sm-x4-45,screen magnifier,0.6272,0.739,-0.1118,0
crfm-gpt2-sm-x4-45,screen reader,0.4464,0.7959,-0.3495,0
crfm-gpt2-sm-x4-45,semantic html,0.7471,-0.1505,0.8976,1
crfm-gpt2-sm-x4-45,sign language,0.3805,0.8641,-0.4836,0
crfm-gpt2-sm-x4-45,skip link,0.7558,-0.2572,1.013,1
crfm-gpt2-sm-x4-45,skip navigation,0.8384,-0.3362,1.1746,1
crfm-gpt2-sm-x4-45,switch access,0.6324,-0.3354,0.9679,1
crfm-gpt2-sm-x4-45,text resize,0.4943,0.8408,-0.3466,0
crfm-gpt2-sm-x4-45,text spacing,0.5246,0.6018,-0.0772,0
crfm-gpt2-sm-x4-45,time limits,0.4192,0.72,-0.3008,0
crfm-gpt2-sm-x4-45,touch target size,0.3965,0.4419,-0.0455,0
crfm-gpt2-sm-x4-45,tree grid,0.6775,-0.3941,1.0715,1
crfm-gpt2-sm-x4-45,voice control,0.5294,0.6533,-0.1239,0
