model,term,r_forward,r_backward,lead_diff,lead_indicator
olmo-1b-45,alert dialog,0.1972,-0.7984,0.9956,1
olmo-1b-45,alt text,0.1358,-0.6613,0.7971,1
olmo-1b-45,aria attribute,-0.1592,-0.3505,0.1913,1
olmo-1b-45,audio description,-0.4361,-0.4379,0.0018,1
olmo-1b-45,braille display,-0.3911,-0.6239,0.2328,1
olmo-1b-45,captions closed,-0.6777,-0.7998,0.1221,1
olmo-1b-45,cognitive load,-0.4371,-0.6119,0.1749,1
olmo-1b-45,color contrast,-0.5925,-0.7549,0.1624,1
olmo-1b-45,contrast ratio,0.3067,-0.5222,0.8289,1
olmo-1b-45,error identification,-0.2766,-0.6672,0.3906,1
olmo-1b-45,eye tracking,-0.067,-0.4989,0.4319,1
olmo-1b-45,focus indicator,0.5132,-0.1172,0.6304,1
olmo-1b-45,focus management,0.2928,-0.7945,1.0874,1
olmo-1b-45,focus trap,0.7624,-0.1012,0.8637,1
olmo-1b-45,haptic feedback,-0.3567,-0.718,0.3613,1
olmo-1b-45,heading structure,-0.2723,-0.9671,0.6948,1
olmo-1b-45,high contrast,-0.1561,-0.862,0.706,1
olmo-1b-45,input purpose,-0.0701,-0.7913,0.7212,1
olmo-1b-45,keyboard navigation,-0.3738,-0.4252,0.0514,1
olmo-1b-45,keyboard shortcut,-0.1005,-0.0108,-0.0897,0
olmo-1b-45,landmark region,-0.5344,-0.6537,0.1194,1
olmo-1b-45,live region,-0.5727,-0.6569,0.0842,1
olmo-1b-45,motion sensitivity,-0.4511,-0.5804,0.1293,1
olmo-1b-45,non-text content,-0.4442,-0.7539,0.3096,1
olmo-1b-45,orientation support,-0.5538,-0.612,0.0582,1
olmo-1b-45,reduced motion,-0.5443,-0.4292,-0.1151,0
olmo-1b-45,reflow content,-0.1471,-0.6104,0.4632,1
olmo-1b-45,screen magnifier,-0.2596,-0.4491,0.1895,1
olmo-1b-45,screen reader,-0.1832,-0.6882,0.505,1
olmo-1b-45,semantic html,-0.6048,-0.8451,0.2404,1
olmo-1b-45,sign language,-0.4083,-0.8432,0.4349,1
olmo-1b-45,skip link,-0.0715,0.0578,-0.1293,0
olmo-1b-45,skip navigation,-0.1404,-0.2177,0.0773,1
olmo-1b-45,switch access,-0.69,-0.5932,-0.0967,0
olmo-1b-45,text resize,-0.0825,-0.8369,0.7544,1
olmo-1b-45,text spacing,0.7427,-0.6109,1.3535,1
olmo-1b-45,time limits,-0.7477,-0.7671,0.0193,1
olmo-1b-45,touch target size,-0.2732,-0.5534,0.2803,1
olmo-1b-45,tree grid,-0.3031,-0.6469,0.3438,1
olmo-1b-45,voice control,0.5261,-0.0517,0.5778,1
