model,term,r_forward,r_backward,lead_diff,lead_indicator
pythia-160m,alert dialog,-0.2514,0.2877,-0.539,0
pythia-160m,alt text,0.1165,0.5643,-0.4477,0
pythia-160m,aria attribute,0.8513,0.7377,0.1135,1
pythia-160m,audio description,-0.433,0.4689,-0.9019,0
pythia-160m,braille display,-0.7814,0.1365,-0.9179,0
pythia-160m,captions closed,0.2481,0.0537,0.1944,1
pythia-160m,cognitive load,-0.6404,0.2395,-0.8799,0
pythia-160m,color contrast,-0.0283,0.5851,-0.6134,0
pythia-160m,contrast ratio,-0.4723,0.4561,-0.9285,0
pythia-160m,error identification,0.3844,0.5731,-0.1887,0
pythia-160m,eye tracking,-0.4,0.557,-0.957,0
pythia-160m,focus indicator,-0.0164,0.5501,-0.5665,0
pythia-160m,focus management,-0.4448,0.3026,-0.7474,0
pythia-160m,focus trap,-0.5126,0.3354,-0.8481,0
pythia-160m,haptic feedback,-0.3057,0.6586,-0.9643,0
pythia-160m,heading structure,-0.0333,0.3735,-0.4068,0
pythia-160m,high contrast,-0.317,0.1323,-0.4492,0
pythia-160m,input purpose,-0.3615,0.3808,-0.7423,0
pythia-160m,keyboard navigation,-0.4947,0.4644,-0.9591,0
pythia-160m,keyboard shortcut,-0.5529,0.2974,-0.8503,0
pythia-160m,landmark region,0.0049,0.4798,-0.4749,0
pythia-160m,live region,0.0866,0.5763,-0.4897,0
pythia-160m,motion sensitivity,-0.4649,0.4232,-0.8882,0
pythia-160m,non-text content,-0.4335,0.3207,-0.7543,0
pythia-160m,orientation support,-0.5385,0.4204,-0.9589,0
pythia-160m,plain language,-0.5592,0.3092,-0.8684,0
pythia-160m,reduced motion,-0.662,0.404,-1.066,0
pythia-160m,reflow content,-0.5978,0.1878,-0.7856,0
pythia-160m,screen magnifier,-0.2568,0.5401,-0.7968,0
pythia-160m,screen reader,0.6914,0.6717,0.0197,1
pythia-160m,semantic html,-0.4404,0.6041,-1.0445,0
pythia-160m,sign language,-0.2632,0.2089,-0.4721,0
pythia-160m,skip link,0.6054,0.7,-0.0946,0
pythia-160m,skip navigation,-0.5436,0.2728,-0.8164,0
pythia-160m,switch access,-0.5552,0.1889,-0.7441,0
pythia-160m,text resize,-0.2501,0.2994,-0.5496,0
pythia-160m,text spacing,0.0938,0.4773,-0.3835,0
pythia-160m,time limits,-0.4717,0.3484,-0.8201,0
pythia-160m,touch target size,-0.5069,0.2573,-0.7642,0
pythia-160m,tree grid,-0.2597,0.4456,-0.7052,0
pythia-160m,voice control,0.0053,0.4108,-0.4055,0
