model,term,r_forward,r_backward,lead_diff,lead_indicator
pythia-1b,alert dialog,-0.039,-0.8522,0.8132,1
pythia-1b,alt text,0.0515,-0.9196,0.971,1
pythia-1b,aria attribute,-0.1287,-0.7262,0.5975,1
pythia-1b,audio description,0.2199,-0.7424,0.9623,1
pythia-1b,braille display,-0.0852,-0.7519,0.6667,1
pythia-1b,captions closed,-0.0042,-0.7644,0.7602,1
pythia-1b,cognitive load,-0.686,-0.8619,0.1758,1
pythia-1b,color contrast,0.4832,-0.2936,0.7768,1
pythia-1b,contrast ratio,-0.4663,-0.8301,0.3637,1
pythia-1b,error identification,-0.575,0.621,-1.196,0
pythia-1b,eye tracking,-0.5307,-0.7355,0.2048,1
pythia-1b,focus indicator,0.341,-0.3607,0.7017,1
pythia-1b,focus management,-0.511,-0.8608,0.3497,1
pythia-1b,focus trap,-0.5155,-0.365,-0.1504,0
pythia-1b,haptic feedback,-0.5224,-0.3223,-0.2001,0
pythia-1b,heading structure,-0.0535,-0.1535,0.1,1
pythia-1b,high contrast,-0.6566,-0.7019,0.0453,1
pythia-1b,input purpose,-0.0806,-0.5386,0.458,1
pythia-1b,keyboard navigation,-0.4602,-0.3451,-0.1151,0
pythia-1b,keyboard shortcut,0.0989,-0.0746,0.1736,1
pythia-1b,landmark region,-0.9963,-0.8246,-0.1717,0
pythia-1b,live region,-0.1157,-0.0211,-0.0946,0
pythia-1b,motion sensitivity,-0.5676,-0.6137,0.0461,1
pythia-1b,non-text content,-0.3193,-0.7213,0.402,1
pythia-1b,orientation support,-0.3619,-0.7461,0.3842,1
pythia-1b,plain language,-0.5216,-0.3753,-0.1463,0
pythia-1b,reduced motion,-0.4893,-0.5255,0.0361,1
pythia-1b,reflow content,-0.7791,-0.8135,0.0344,1
pythia-1b,screen magnifier,0.0138,0.058,-0.0442,0
pythia-1b,screen reader,-0.4859,-0.677,0.1911,1
pythia-1b,semantic html,-0.6121,-0.6601,0.048,1
pythia-1b,sign language,-0.5263,-0.6047,0.0784,1
pythia-1b,skip link,-0.2368,-0.6573,0.4205,1
pythia-1b,skip navigation,-0.4167,-0.0569,-0.3598,0
pythia-1b,switch access,-0.8206,-0.5707,-0.2499,0
pythia-1b,text resize,-0.7598,-0.5456,-0.2142,0
pythia-1b,text spacing,-0.4913,-0.8252,0.3339,1
pythia-1b,time limits,-0.4903,-0.8488,0.3585,1
pythia-1b,touch target size,-0.5375,-0.6882,0.1507,1
pythia-1b,tree grid,0.2708,-0.8482,1.1191,1
pythia-1b,voice control,-0.0892,-0.6411,0.5519,1
