model,term,r_forward,r_backward,lead_diff,lead_indicator
smollm3-3b-45,alert dialog,-0.1128,-0.2809,0.1682,1
smollm3-3b-45,alt text,-0.1719,0.2226,-0.3945,0
smollm3-3b-45,aria attribute,-0.4985,0.2613,-0.7598,0
smollm3-3b-45,audio description,-0.4792,-0.0481,-0.4311,0
smollm3-3b-45,braille display,-0.3658,0.194,-0.5598,0
smollm3-3b-45,captions closed,0.7,0.4071,0.2929,1
smollm3-3b-45,cognitive load,0.0046,0.424,-0.4195,0
smollm3-3b-45,color contrast,0.5947,0.4883,0.1064,1
smollm3-3b-45,contrast ratio,0.5584,0.4094,0.149,1
smollm3-3b-45,error identification,0.2054,-0.0166,0.222,1
smollm3-3b-45,eye tracking,-0.0593,-0.0321,-0.0272,0
smollm3-3b-45,focus indicator,-0.334,0.4529,-0.7869,0
smollm3-3b-45,focus management,0.7767,-0.0463,0.823,1
smollm3-3b-45,focus trap,0.8073,0.1231,0.6842,1
smollm3-3b-45,haptic feedback,-0.1704,0.0046,-0.175,0
smollm3-3b-45,heading structure,-0.0724,-0.4564,0.384,1
smollm3-3b-45,high contrast,0.5801,-0.3846,0.9647,1
smollm3-3b-45,input purpose,-0.9291,-0.6043,-0.3248,0
smollm3-3b-45,keyboard navigation,0.0846,-0.4007,0.4852,1
smollm3-3b-45,keyboard shortcut,-0.5995,0.4399,-1.0394,0
smollm3-3b-45,landmark region,0.582,-0.7431,1.3251,1
smollm3-3b-45,live region,-0.2431,-0.1992,-0.0439,0
smollm3-3b-45,motion sensitivity,0.2682,0.1588,0.1094,1
smollm3-3b-45,non-text content,-0.7675,0.6617,-1.4292,0
smollm3-3b-45,orientation support,0.6573,0.1738,0.4835,1
smollm3-3b-45,plain language,0.3966,0.0775,0.3192,1
smollm3-3b-45,reduced motion,-0.5033,0.8193,-1.3226,0
smollm3-3b-45,reflow content,-0.5327,0.3556,-0.8882,0
smollm3-3b-45,screen magnifier,-0.3178,0.2535,-0.5713,0
smollm3-3b-45,screen reader,-0.5316,-0.1234,-0.4081,0
smollm3-3b-45,semantic html,-0.4554,0.62,-1.0754,0
smollm3-3b-45,sign language,0.7649,0.1206,0.6443,1
smollm3-3b-45,skip link,0.1348,0.609,-0.4742,0
smollm3-3b-45,skip navigation,0.6568,-0.1479,0.8047,1
smollm3-3b-45,switch access,-0.0379,-0.1438,0.1059,1
smollm3-3b-45,text resize,-0.3454,-0.5968,0.2514,1
smollm3-3b-45,text spacing,0.1626,-0.3316,0.4942,1
smollm3-3b-45,time limits,0.4374,-0.2978,0.7352,1
smollm3-3b-45,touch target size,0.0919,0.2119,-0.12,0
smollm3-3b-45,tree grid,0.4384,0.6641,-0.2256,0
smollm3-3b-45,voice control,0.5755,0.2797,0.2958,1
