model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
crfm-gpt2-sm-x5-45,alert dialog,0.8,0.4,0,0
crfm-gpt2-sm-x5-45,alt text,0.8,0.8,0,0
crfm-gpt2-sm-x5-45,aria attribute,-0.3162,0.9487,0,0
crfm-gpt2-sm-x5-45,audio description,0.4,0.9487,0,0
crfm-gpt2-sm-x5-45,braille display,0.8,0.9487,0,0
crfm-gpt2-sm-x5-45,captions closed,0.6325,0.6325,0,0
crfm-gpt2-sm-x5-45,cognitive load,0.4,0.4,0,0
crfm-gpt2-sm-x5-45,color contrast,0.2108,-0.3162,1,1
crfm-gpt2-sm-x5-45,contrast ratio,0.9487,-0.7746,1,1
crfm-gpt2-sm-x5-45,error identification,0.9487,-0.3162,1,1
crfm-gpt2-sm-x5-45,eye tracking,0.7746,0.6325,0,0
crfm-gpt2-sm-x5-45,focus indicator,0.4,0.3162,0,0
crfm-gpt2-sm-x5-45,focus management,0.8,-0.8,1,1
crfm-gpt2-sm-x5-45,haptic feedback,-0.7746,-0.3162,0,0
crfm-gpt2-sm-x5-45,heading structure,0.7746,0.7379,0,0
crfm-gpt2-sm-x5-45,high contrast,1.0,0.1054,0,1
crfm-gpt2-sm-x5-45,input purpose,0.7746,0.7379,0,0
crfm-gpt2-sm-x5-45,keyboard navigation,0.8,-0.2,1,1
crfm-gpt2-sm-x5-45,keyboard shortcut,0.8,0.0,1,1
crfm-gpt2-sm-x5-45,landmark region,0.8,0.9487,0,0
crfm-gpt2-sm-x5-45,live region,0.2108,0.2582,0,0
crfm-gpt2-sm-x5-45,motion sensitivity,0.6325,0.7746,0,0
crfm-gpt2-sm-x5-45,non-text content,1.0,-0.7379,1,1
crfm-gpt2-sm-x5-45,orientation support,0.9487,-0.7746,1,1
crfm-gpt2-sm-x5-45,reduced motion,0.7379,0.6325,0,0
crfm-gpt2-sm-x5-45,reflow content,0.8,0.2,0,1
crfm-gpt2-sm-x5-45,screen magnifier,1.0,0.3162,0,1
crfm-gpt2-sm-x5-45,screen reader,0.0,1.0,0,0
crfm-gpt2-sm-x5-45,semantic html,0.7746,0.3162,0,1
crfm-gpt2-sm-x5-45,sign language,0.9487,-0.3162,1,1
crfm-gpt2-sm-x5-45,skip link,0.4,0.7379,0,0
crfm-gpt2-sm-x5-45,skip navigation,0.6,0.7379,0,0
crfm-gpt2-sm-x5-45,switch access,0.8,0.9487,0,0
crfm-gpt2-sm-x5-45,text resize,0.8,0.2,0,1
crfm-gpt2-sm-x5-45,text spacing,0.4,0.6,0,0
crfm-gpt2-sm-x5-45,time limits,-0.2582,-0.2582,0,0
crfm-gpt2-sm-x5-45,touch target size,0.9487,-0.3162,1,1
crfm-gpt2-sm-x5-45,tree grid,0.8,0.8,0,0
crfm-gpt2-sm-x5-45,voice control,0.9487,-0.8,1,1
