model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
olmo-1b-45,alert dialog,0.4,-0.3162,1,1
olmo-1b-45,alt text,0.4,0.7379,0,0
olmo-1b-45,aria attribute,0.8,-0.8,1,1
olmo-1b-45,audio description,0.4,-0.6325,1,1
olmo-1b-45,captions closed,-0.6,-0.2,0,0
olmo-1b-45,cognitive load,0.4,-0.8,1,1
olmo-1b-45,color contrast,0.3162,0.8,0,0
olmo-1b-45,error identification,0.4,-0.4,1,1
olmo-1b-45,focus indicator,0.8,-0.4,1,1
olmo-1b-45,focus management,0.3162,0.7379,0,0
olmo-1b-45,heading structure,0.4,-0.9487,1,1
olmo-1b-45,high contrast,0.4,0.3162,0,0
olmo-1b-45,input purpose,0.4,-0.8,1,1
olmo-1b-45,keyboard navigation,0.3162,-1.0,1,1
olmo-1b-45,keyboard shortcut,0.8,0.2582,0,1
olmo-1b-45,live region,-0.6325,-0.3162,0,0
olmo-1b-45,non-text content,-0.4,-0.8,0,0
olmo-1b-45,reflow content,0.4,0.6325,0,0
olmo-1b-45,screen magnifier,-0.4,-0.7746,0,0
olmo-1b-45,screen reader,0.8,-0.6325,1,1
olmo-1b-45,skip link,0.0,-0.7379,0,0
olmo-1b-45,skip navigation,0.4,-0.8,1,1
olmo-1b-45,switch access,0.4,0.6325,0,0
olmo-1b-45,text resize,0.2,0.2,0,0
olmo-1b-45,text spacing,-0.2582,0.8,0,0
olmo-1b-45,tree grid,0.4,-0.6325,1,1
olmo-1b-45,voice control,-0.2,1.0,0,0
