model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
pythia-160m,alert dialog,0.6325,0.2,0,1
pythia-160m,alt text,0.3162,0.3162,0,0
pythia-160m,aria attribute,1.0,0.3162,0,1
pythia-160m,audio description,0.4,0.8,0,0
pythia-160m,braille display,0.4,0.0,1,1
pythia-160m,captions closed,0.8,0.7379,0,0
pythia-160m,cognitive load,0.4,-0.4,1,1
pythia-160m,color contrast,0.9487,-0.3162,1,1
pythia-160m,error identification,0.2,-0.6,1,1
pythia-160m,focus indicator,0.4,-0.6325,1,1
pythia-160m,focus management,0.7746,-0.4,1,1
pythia-160m,heading structure,0.2,0.9487,0,0
pythia-160m,high contrast,0.4,0.4,0,0
pythia-160m,input purpose,0.3162,-0.3162,1,1
pythia-160m,keyboard navigation,0.2,-0.7379,1,1
pythia-160m,keyboard shortcut,0.4,0.4,0,0
pythia-160m,live region,0.6325,-0.9487,1,1
pythia-160m,non-text content,0.4,-0.6,1,1
pythia-160m,reflow content,0.3162,-0.7379,1,1
pythia-160m,screen magnifier,0.3162,0.2,0,0
pythia-160m,screen reader,0.8,0.7379,0,0
pythia-160m,skip link,0.8,0.4,0,0
pythia-160m,skip navigation,0.2,0.2108,0,0
pythia-160m,switch access,0.3162,0.2,0,0
pythia-160m,text resize,0.3162,-0.2,1,1
pythia-160m,text spacing,0.4,0.9487,0,0
pythia-160m,tree grid,0.8,0.0,1,1
pythia-160m,voice control,0.3162,0.3162,0,0
