model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
pythia-1b,alert dialog,0.4,1.0,0,0
pythia-1b,alt text,1.0,-0.3162,1,1
pythia-1b,aria attribute,0.9487,-0.4,1,1
pythia-1b,audio description,0.4,0.9487,0,0
pythia-1b,braille display,0.4,-0.6325,1,1
pythia-1b,captions closed,0.3162,0.4,0,0
pythia-1b,cognitive load,1.0,0.3162,0,1
pythia-1b,color contrast,0.9487,-0.2,1,1
pythia-1b,error identification,0.2,0.0,1,1
pythia-1b,focus indicator,0.8,0.2,0,1
pythia-1b,focus management,1.0,-0.3162,1,1
pythia-1b,heading structure,0.8,0.3162,0,1
pythia-1b,high contrast,0.8,-1.0,1,1
pythia-1b,input purpose,0.8,-0.4,1,1
pythia-1b,keyboard navigation,0.9487,0.8,0,0
pythia-1b,keyboard shortcut,0.6325,0.4,0,0
pythia-1b,live region,0.8,-0.4,1,1
pythia-1b,non-text content,0.8,-0.8,1,1
pythia-1b,reflow content,0.9487,-0.9487,1,1
pythia-1b,screen magnifier,1.0,0.2,0,1
pythia-1b,screen reader,0.4,0.4,0,0
pythia-1b,skip link,0.4,0.2,0,0
pythia-1b,skip navigation,0.9487,-0.4,1,1
pythia-1b,switch access,1.0,-0.6,1,1
pythia-1b,text resize,1.0,0.2108,0,1
pythia-1b,text spacing,1.0,-0.4,1,1
pythia-1b,tree grid,0.2,0.3162,0,0
pythia-1b,voice control,0.8,-0.4,1,1
