model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
smollm3-3b-45,alert dialog,-0.4,-0.2,0,0
smollm3-3b-45,alt text,0.8,0.1054,0,1
smollm3-3b-45,aria attribute,0.4,-0.2582,1,1
smollm3-3b-45,audio description,0.2,-1.0,1,1
smollm3-3b-45,braille display,0.9487,-0.4,1,1
smollm3-3b-45,captions closed,-1.0,-0.9487,0,0
smollm3-3b-45,cognitive load,0.9487,0.0,1,1
smollm3-3b-45,color contrast,0.6,-0.2,1,1
smollm3-3b-45,contrast ratio,-0.7746,0.7746,0,0
smollm3-3b-45,error identification,-0.2,-0.3162,0,0
smollm3-3b-45,eye tracking,0.2582,-0.7746,1,1
smollm3-3b-45,focus indicator,-1.0,0.2108,0,0
smollm3-3b-45,focus management,0.7379,-0.6325,1,1
smollm3-3b-45,focus trap,-0.7746,0.7746,0,0
smollm3-3b-45,haptic feedback,0.7746,-0.8944,1,1
smollm3-3b-45,heading structure,0.3162,-0.6325,1,1
smollm3-3b-45,high contrast,0.3162,0.4,0,0
smollm3-3b-45,input purpose,1.0,-0.4,1,1
smollm3-3b-45,keyboard navigation,-0.4,-0.4,0,0
smollm3-3b-45,keyboard shortcut,0.1054,-0.4,1,1
smollm3-3b-45,landmark region,0.2582,-0.7746,1,1
smollm3-3b-45,live region,0.0,-0.8,0,0
smollm3-3b-45,motion sensitivity,0.2582,-0.2582,1,1
smollm3-3b-45,non-text content,0.2,-0.2582,1,1
smollm3-3b-45,orientation support,0.7746,-0.2582,1,1
smollm3-3b-45,plain language,0.2582,-0.7746,1,1
smollm3-3b-45,reduced motion,0.2582,0.4472,0,0
smollm3-3b-45,reflow content,0.8,-0.3162,1,1
smollm3-3b-45,screen magnifier,0.3162,0.9487,0,0
smollm3-3b-45,screen reader,0.3162,0.0,1,1
smollm3-3b-45,semantic html,0.2582,-0.2582,1,1
smollm3-3b-45,sign language,-0.7746,-0.2582,0,0
smollm3-3b-45,skip link,0.8,0.0,1,1
smollm3-3b-45,skip navigation,-0.4,-0.2,0,0
smollm3-3b-45,switch access,-0.8,-1.0,0,0
smollm3-3b-45,text resize,-0.6,-0.2,0,0
smollm3-3b-45,text spacing,-0.2108,-0.4,0,0
smollm3-3b-45,touch target size,-0.7746,-0.7746,0,0
smollm3-3b-45,tree grid,0.3162,-0.3162,1,1
smollm3-3b-45,voice control,0.6,-0.6,1,1
