term,model,checkpoint,eb_star,beh_avg
screen reader,160m,step0,0.12889,0.0
screen reader,160m,step0,0.110631,0.0
skip link,160m,step0,0.131155,0.25
skip link,160m,step0,0.081738,0.25
alt text,160m,step0,0.147328,0.0
alt text,160m,step0,0.129309,0.0
screen reader,160m,step120000,0.874642,0.5
screen reader,160m,step120000,0.916653,0.5
skip link,160m,step120000,0.91588,0.66665
skip link,160m,step120000,0.840585,0.66665
alt text,160m,step120000,0.658285,0.66665
alt text,160m,step120000,0.896747,0.66665
screen reader,160m,step140000,0.693644,0.416675
screen reader,160m,step140000,0.70574,0.416675
skip link,160m,step140000,0.910407,0.75
skip link,160m,step140000,0.68296,0.75
alt text,160m,step140000,0.895478,0.66665
alt text,160m,step140000,0.912548,0.66665
screen reader,160m,step143000,0.691774,0.666675
screen reader,160m,step143000,0.698342,0.666675
skip link,160m,step143000,0.850026,0.5
skip link,160m,step143000,0.913122,0.5
alt text,160m,step143000,0.852215,0.333325
alt text,160m,step143000,0.826044,0.333325
screen reader,160m,step15000,0.678513,0.25
screen reader,160m,step15000,0.659127,0.25
skip link,160m,step15000,0.672222,0.16665
skip link,160m,step15000,0.673541,0.16665
alt text,160m,step15000,0.662075,0.083325
alt text,160m,step15000,0.588259,0.083325
screen reader,160m,step30000,0.690446,0.33335
screen reader,160m,step30000,0.679203,0.33335
skip link,160m,step30000,0.685867,0.5
skip link,160m,step30000,0.611909,0.5
alt text,160m,step30000,0.636371,0.416675
alt text,160m,step30000,0.674019,0.416675
screen reader,160m,step60000,0.740821,0.416675
screen reader,160m,step60000,0.706392,0.416675
skip link,160m,step60000,0.855999,0.25
skip link,160m,step60000,0.664554,0.25
alt text,160m,step60000,0.657312,0.416675
alt text,160m,step60000,0.643343,0.416675
screen reader,160m,step90000,0.731862,0.75
screen reader,160m,step90000,0.906441,0.75
skip link,160m,step90000,0.874747,0.41664999999999996
skip link,160m,step90000,0.672313,0.41664999999999996
alt text,160m,step90000,0.636716,0.416675
alt text,160m,step90000,0.826831,0.416675
screen reader,1b,step0,0.12899,0.0
screen reader,1b,step0,0.097579,0.0
skip link,1b,step0,0.115728,0.25
skip link,1b,step0,0.138235,0.25
alt text,1b,step0,0.12517,0.25
alt text,1b,step0,0.122186,0.25
screen reader,1b,step120000,0.524855,0.75
screen reader,1b,step120000,0.504206,0.75
skip link,1b,step120000,0.580091,0.66665
skip link,1b,step120000,0.801549,0.66665
alt text,1b,step120000,0.568897,0.58335
alt text,1b,step120000,0.588429,0.58335
screen reader,1b,step140000,0.493486,0.75
screen reader,1b,step140000,0.482344,0.75
skip link,1b,step140000,0.572033,0.833325
skip link,1b,step140000,0.823198,0.833325
alt text,1b,step140000,0.563527,0.666675
alt text,1b,step140000,0.581271,0.666675
screen reader,1b,step143000,0.520115,0.75
screen reader,1b,step143000,0.485132,0.75
skip link,1b,step143000,0.576094,1.0
skip link,1b,step143000,0.825666,1.0
alt text,1b,step143000,0.567099,0.666675
alt text,1b,step143000,0.562796,0.666675
screen reader,1b,step15000,0.632382,0.75
screen reader,1b,step15000,0.612705,0.75
skip link,1b,step15000,0.696737,0.66665
skip link,1b,step15000,0.688697,0.66665
alt text,1b,step15000,0.608966,0.416675
alt text,1b,step15000,0.616469,0.416675
screen reader,1b,step30000,0.579326,0.666675
screen reader,1b,step30000,0.546783,0.666675
skip link,1b,step30000,0.667008,0.75
skip link,1b,step30000,0.698253,0.75
alt text,1b,step30000,0.584899,0.916675
alt text,1b,step30000,0.576323,0.916675
screen reader,1b,step60000,0.569398,0.75
screen reader,1b,step60000,0.537964,0.75
skip link,1b,step60000,0.673731,0.75
skip link,1b,step60000,0.616401,0.75
alt text,1b,step60000,0.682892,0.583325
alt text,1b,step60000,0.550601,0.583325
screen reader,1b,step90000,0.563116,0.5
screen reader,1b,step90000,0.498998,0.5
skip link,1b,step90000,0.598783,0.75
skip link,1b,step90000,0.749618,0.75
alt text,1b,step90000,0.557523,0.666675
alt text,1b,step90000,0.565823,0.666675
screen reader,2.8b,step0,0.130341,0.25
screen reader,2.8b,step0,0.148876,0.25
skip link,2.8b,step0,0.140137,0.25
skip link,2.8b,step0,0.219453,0.25
alt text,2.8b,step0,0.156089,0.25
alt text,2.8b,step0,0.181706,0.25
screen reader,2.8b,step120000,0.89744,0.75
screen reader,2.8b,step120000,0.878192,0.75
skip link,2.8b,step120000,0.803107,1.0
skip link,2.8b,step120000,0.878313,1.0
alt text,2.8b,step120000,0.846589,0.58335
alt text,2.8b,step120000,0.876801,0.58335
screen reader,2.8b,step140000,0.794714,0.75
screen reader,2.8b,step140000,0.779839,0.75
skip link,2.8b,step140000,0.807272,1.0
skip link,2.8b,step140000,0.852158,1.0
alt text,2.8b,step140000,0.807487,0.58335
alt text,2.8b,step140000,0.884042,0.58335
screen reader,2.8b,step143000,0.822444,0.75
screen reader,2.8b,step143000,0.871689,0.75
skip link,2.8b,step143000,0.795612,0.666675
skip link,2.8b,step143000,0.884491,0.666675
alt text,2.8b,step143000,0.825903,0.58335
alt text,2.8b,step143000,0.848664,0.58335
screen reader,2.8b,step15000,0.904862,0.416675
screen reader,2.8b,step15000,0.886491,0.416675
skip link,2.8b,step15000,0.880454,0.75
skip link,2.8b,step15000,0.874061,0.75
alt text,2.8b,step15000,0.881599,0.75
alt text,2.8b,step15000,0.883101,0.75
screen reader,2.8b,step30000,0.922274,0.75
screen reader,2.8b,step30000,0.893131,0.75
skip link,2.8b,step30000,0.904879,0.666675
skip link,2.8b,step30000,0.869382,0.666675
alt text,2.8b,step30000,0.862845,0.833325
alt text,2.8b,step30000,0.870742,0.833325
screen reader,2.8b,step60000,0.89395,0.5
screen reader,2.8b,step60000,0.84895,0.5
skip link,2.8b,step60000,0.909473,0.833325
skip link,2.8b,step60000,0.881978,0.833325
alt text,2.8b,step60000,0.899874,0.666675
alt text,2.8b,step60000,0.908036,0.666675
screen reader,2.8b,step90000,0.83815,0.75
screen reader,2.8b,step90000,0.85205,0.75
skip link,2.8b,step90000,0.85522,0.833325
skip link,2.8b,step90000,0.909483,0.833325
alt text,2.8b,step90000,0.878905,0.666675
alt text,2.8b,step90000,0.888193,0.666675
focus indicator,160m,step0,0.13791,0.0
focus indicator,160m,step0,0.145717,0.0
color contrast,160m,step0,0.122418,0.25
color contrast,160m,step0,0.115828,0.25
aria attribute,160m,step0,0.122727,0.0
aria attribute,160m,step0,0.0,0.0
tab order,160m,step0,0.096287,0.25
tab order,160m,step0,0.13062,0.25
form validation,160m,step0,0.106253,0.0
form validation,160m,step0,0.080577,0.0
heading structure,160m,step0,0.183414,0.25
heading structure,160m,step0,0.1549,0.25
focus indicator,160m,step120000,0.709687,0.8333333333333333
focus indicator,160m,step120000,0.712708,0.8333333333333333
color contrast,160m,step120000,0.91652,0.5
color contrast,160m,step120000,0.916666,0.5
aria attribute,160m,step120000,0.846219,0.5833333333333334
aria attribute,160m,step120000,0.0,0.5833333333333334
tab order,160m,step120000,0.916659,0.75
tab order,160m,step120000,0.916667,0.75
form validation,160m,step120000,0.772798,0.41666666666666663
form validation,160m,step120000,0.912286,0.41666666666666663
heading structure,160m,step120000,0.897213,0.3333333333333333
heading structure,160m,step120000,0.750168,0.3333333333333333
focus indicator,160m,step140000,0.763223,0.8333333333333333
focus indicator,160m,step140000,0.664301,0.8333333333333333
color contrast,160m,step140000,0.670201,0.5
color contrast,160m,step140000,0.911404,0.5
aria attribute,160m,step140000,0.852529,0.6666666666666666
aria attribute,160m,step140000,0.0,0.6666666666666666
tab order,160m,step140000,0.915187,0.5833333333333334
tab order,160m,step140000,0.893214,0.5833333333333334
form validation,160m,step140000,0.692459,0.5
form validation,160m,step140000,0.67305,0.5
heading structure,160m,step140000,0.738293,0.25
heading structure,160m,step140000,0.887474,0.25
focus indicator,160m,step143000,0.654718,0.8333333333333333
focus indicator,160m,step143000,0.656559,0.8333333333333333
color contrast,160m,step143000,0.861248,0.6666666666666666
color contrast,160m,step143000,0.881649,0.6666666666666666
aria attribute,160m,step143000,0.844863,0.5833333333333334
aria attribute,160m,step143000,0.0,0.5833333333333334
tab order,160m,step143000,0.611184,1.0
tab order,160m,step143000,0.891475,1.0
form validation,160m,step143000,0.874167,0.5
form validation,160m,step143000,0.818994,0.5
heading structure,160m,step143000,0.620368,0.0
heading structure,160m,step143000,0.84418,0.0
focus indicator,160m,step15000,0.732401,0.9166666666666666
focus indicator,160m,step15000,0.725214,0.9166666666666666
color contrast,160m,step15000,0.643559,0.5
color contrast,160m,step15000,0.583573,0.5
aria attribute,160m,step15000,0.718289,0.5833333333333334
aria attribute,160m,step15000,0.0,0.5833333333333334
tab order,160m,step15000,0.638544,0.5833333333333334
tab order,160m,step15000,0.706344,0.5833333333333334
form validation,160m,step15000,0.696384,0.5833333333333334
form validation,160m,step15000,0.665128,0.5833333333333334
heading structure,160m,step15000,0.723829,0.25
heading structure,160m,step15000,0.710066,0.25
focus indicator,160m,step30000,0.750528,0.8333333333333333
focus indicator,160m,step30000,0.748799,0.8333333333333333
color contrast,160m,step30000,0.57565,0.5
color contrast,160m,step30000,0.622645,0.5
aria attribute,160m,step30000,0.783516,0.6666666666666666
aria attribute,160m,step30000,0.0,0.6666666666666666
tab order,160m,step30000,0.64091,0.5833333333333334
tab order,160m,step30000,0.656802,0.5833333333333334
form validation,160m,step30000,0.728122,0.25
form validation,160m,step30000,0.694703,0.25
heading structure,160m,step30000,0.676877,0.25
heading structure,160m,step30000,0.763606,0.25
focus indicator,160m,step60000,0.743974,0.5
focus indicator,160m,step60000,0.743741,0.5
color contrast,160m,step60000,0.777753,0.5833333333333334
color contrast,160m,step60000,0.687826,0.5833333333333334
