model,checkpoint,term,task,prompt_id,prompt_template_bind,eb_star,eb_per_layer,best_layer,entropy,span_indices,n_term_tokens,prompt_template_beh,behavioral_score,step,model_short
pythia-160m-deduped,step0,screen reader,generation,gen_001,"In web accessibility, a screen reader is",0.12889,"[0.099242, 0.098265, 0.111221, 0.093965, 0.071425, 0.069958, 0.12889, 0.059559, 0.070145, 0.031743, 0.049116, 0.057552]",6,2.432451,"[6, 7]",2,"In web accessibility, a screen reader is",0.0,0,160m
pythia-160m-deduped,step0,screen reader,generation,gen_002,"For blind users, a screen reader",0.110631,"[0.107742, 0.103705, 0.064247, 0.064782, 0.099126, 0.072234, 0.110631, 0.067982, 0.071919, 0.050844, 0.042559, 0.04015]",6,2.439689,"[6, 7]",2,"For blind users, a screen reader",0.0,0,160m
pythia-160m-deduped,step0,screen reader,generation,gen_003,"To ensure screen reader compatibility, developers should",0.167387,"[0.167387, 0.135567, 0.12008, 0.151877, 0.134873, 0.112203, 0.074378, 0.13091, 0.043422, 0.040391, 0.107112, 0.035931]",0,2.41875,"[3, 4]",2,"To ensure screen reader compatibility, developers should",0.0,0,160m
pythia-160m-deduped,step0,screen reader,generation,gen_004,"Without proper screen reader support, visually impaired users may",0.189442,"[0.189442, 0.088153, 0.11335, 0.081429, 0.125671, 0.12048, 0.069303, 0.118585, 0.08079, 0.089954, 0.079323, 0.068208]",0,2.409122,"[3, 4]",2,"Without proper screen reader support, visually impaired users may",0.0,0,160m
pythia-160m-deduped,step0,screen reader,generation,gen_005,An accessibility audit found that the site is not screen reader friendly. This means,0.104511,"[0.071259, 0.044496, 0.059121, 0.060192, 0.104511, 0.058298, 0.054188, 0.046196, 0.061493, 0.017118, 0.028178, 0.026555]",4,2.38883,"[10, 11]",2,An accessibility audit found that the site is not screen reader friendly. This means,0.0,0,160m
pythia-160m-deduped,step0,screen reader,generation,gen_006,"When building accessible sites, screen reader compatibility ensures",0.107265,"[0.107265, 0.077333, 0.094876, 0.064646, 0.043899, 0.061179, 0.077938, 0.062957, 0.047955, 0.03311, 0.043842, 0.064062]",0,2.399803,"[6, 7]",2,"When building accessible sites, screen reader compatibility ensures",0.0,0,160m
pythia-160m-deduped,step0,skip link,generation,gen_001,"In web accessibility, a skip link is",0.131155,"[0.055708, 0.041056, 0.052823, 0.056365, 0.131155, 0.071589, 0.074757, 0.050773, 0.036765, 0.048037, 0.052544, 0.07626]",4,2.417255,"[6, 7]",2,"In web accessibility, a skip link is",0.0,0,160m
pythia-160m-deduped,step0,skip link,generation,gen_002,"For keyboard navigation, a skip link",0.080313,"[0.070652, 0.041203, 0.07219, 0.079953, 0.075014, 0.057655, 0.059454, 0.073678, 0.080237, 0.05495, 0.080313, 0.072737]",10,2.438052,"[6, 7]",2,"For keyboard navigation, a skip link",0.0,0,160m
pythia-160m-deduped,step0,skip link,generation,gen_003,"To implement a skip link, developers should",0.115449,"[0.07878, 0.054945, 0.074965, 0.076828, 0.112205, 0.11103, 0.114677, 0.073468, 0.069058, 0.074488, 0.062534, 0.115449]",11,2.461567,"[4, 5]",2,"To implement a skip link, developers should",0.0,0,160m
pythia-160m-deduped,step0,skip link,generation,gen_004,"Without a skip link, keyboard users may",0.14169,"[0.074526, 0.052205, 0.068313, 0.109145, 0.099908, 0.072614, 0.087536, 0.066361, 0.14169, 0.070321, 0.090195, 0.121178]",8,2.461521,"[3, 4]",2,"Without a skip link, keyboard users may",0.0,0,160m
pythia-160m-deduped,step0,skip link,generation,gen_005,An accessibility review noted the absence of a skip link. This means,0.0994,"[0.041322, 0.021604, 0.053365, 0.051859, 0.0994, 0.076371, 0.039377, 0.041011, 0.028224, 0.056686, 0.043344, 0.047082]",4,2.425883,"[9, 10]",2,An accessibility review noted the absence of a skip link. This means,0.0,0,160m
