model,term,tier,n_tokens,token_ids,token_strings,is_clean,valid_for_binding
crfm-gpt2-sm,screen reader,current,2,"[9612, 9173]","[""screen"", "" reader""]",True,True
crfm-gpt2-sm,skip link,current,2,"[48267, 2792]","[""skip"", "" link""]",True,True
crfm-gpt2-sm,alt text,current,2,"[2501, 2420]","[""alt"", "" text""]",True,True
crfm-gpt2-sm,aria attribute,current,2,"[10312, 11688]","[""aria"", "" attribute""]",True,True
crfm-gpt2-sm,color contrast,current,2,"[8043, 6273]","[""color"", "" contrast""]",True,True
crfm-gpt2-sm,focus indicator,current,2,"[37635, 16916]","[""focus"", "" indicator""]",True,True
crfm-gpt2-sm,form validation,current,2,"[687, 21201]","[""form"", "" validation""]",True,True
crfm-gpt2-sm,heading structure,current,2,"[33878, 4645]","[""heading"", "" structure""]",True,True
crfm-gpt2-sm,tab order,current,2,"[8658, 1502]","[""tab"", "" order""]",True,True
crfm-gpt2-sm,braille display,tier1,3,"[16057, 8270, 3359]","[""bra"", ""ille"", "" display""]",True,True
crfm-gpt2-sm,screen magnifier,tier1,3,"[9612, 7842, 7483]","[""screen"", "" magn"", ""ifier""]",True,True
crfm-gpt2-sm,voice control,tier1,2,"[38888, 1630]","[""voice"", "" control""]",True,True
crfm-gpt2-sm,switch access,tier1,2,"[31943, 1895]","[""switch"", "" access""]",True,True
crfm-gpt2-sm,audio description,tier1,2,"[24051, 6764]","[""audio"", "" description""]",True,True
crfm-gpt2-sm,captions closed,tier1,3,"[27144, 507, 4838]","[""capt"", ""ions"", "" closed""]",True,True
crfm-gpt2-sm,cognitive load,tier1,3,"[66, 46610, 3440]","[""c"", ""ognitive"", "" load""]",True,True
crfm-gpt2-sm,high contrast,tier1,2,"[8929, 6273]","[""high"", "" contrast""]",True,True
crfm-gpt2-sm,keyboard shortcut,tier1,3,"[2539, 3526, 29401]","[""key"", ""board"", "" shortcut""]",True,True
crfm-gpt2-sm,text resize,tier1,2,"[5239, 47558]","[""text"", "" resize""]",True,True
crfm-gpt2-sm,keyboard navigation,tier2,3,"[2539, 3526, 16408]","[""key"", ""board"", "" navigation""]",True,True
crfm-gpt2-sm,focus management,tier2,2,"[37635, 4542]","[""focus"", "" management""]",True,True
crfm-gpt2-sm,skip navigation,tier2,2,"[48267, 16408]","[""skip"", "" navigation""]",True,True
crfm-gpt2-sm,reflow content,tier2,3,"[260, 11125, 2695]","[""re"", ""flow"", "" content""]",True,True
crfm-gpt2-sm,non-text content,tier2,4,"[13159, 12, 5239, 2695]","[""non"", ""-"", ""text"", "" content""]",True,True
crfm-gpt2-sm,error identification,tier2,2,"[18224, 11795]","[""error"", "" identification""]",True,True
crfm-gpt2-sm,input purpose,tier2,2,"[15414, 4007]","[""input"", "" purpose""]",True,True
crfm-gpt2-sm,text spacing,tier2,2,"[5239, 31050]","[""text"", "" spacing""]",True,True
crfm-gpt2-sm,live region,tier3,2,"[12583, 3814]","[""live"", "" region""]",True,True
crfm-gpt2-sm,alert dialog,tier3,2,"[44598, 17310]","[""alert"", "" dialog""]",True,True
